epoch, total loss
1,143843410.328
2,136727476.438
3,129871438.234
4,123296093.234
5,116934162.289
6,110809598.625
7,105039026.523
8,99688939.0859
9,94795478.1172
10,90386413.6602
11,86452466.3516
12,82968966.207
13,79967280.0625
14,77395388.8828
15,75197578.5469
16,73329654.3047
17,71756151.6406
18,69415109.0039
19,67672951.3203
20,66190739.8828
21,64876285.957
22,64401121.6562
23,62730280.3359
24,61882672.3047
25,61124267.0156
26,60394547.2773
27,59746512.3125
28,59215398.9805
29,58734205.0156
30,58177299.8086
31,57760737.6055
32,57404830.2305
33,57040296.2539
34,56710549.9414
35,56456413.7188
36,56157479.918
37,55974630.3398
38,55713206.3047
39,55614778.7578
40,55399150.5703
41,55158380.9141
42,55009791.8906
43,54798879.082
44,54701812.9727
45,54580082.2656
46,54379767.3672
47,54216029.2266
48,54095089.8945
49,54001679.168
50,53979296.332
51,53856641.6445
52,53753426.0742
53,53714261.5
54,53604832.6914
55,53518847.1719
56,53421760.2344
57,53281295.1602
58,53305900.8164
59,53428340.4961
60,53056655.5352
61,53119811.9062
62,53091663.9258
63,53011604.918
64,53014631.2734
65,52924630.6406
66,52962685.7852
67,52926130.6016
68,52687692.1797
69,52701862.9219
70,52624655.2578
71,52569169.6328
72,52511320.0195
73,52466003.8203
74,52432940.5273
75,52453473.1914
76,52414214.8945
77,52388651.1367
78,52516788.3203
79,52339289.9844
80,52369632.1289
81,52265925.793
82,52248391.5078
83,52275344.7617
84,52203403.7656
85,52217411.8711
86,52141244.5742
87,52246465.9492
88,52117500.7266
89,52115075.0586
90,52095845.5938
91,52082153.0625
92,52018562.5312
93,52013544.6758
94,52035863.8398
95,52114496.2969
96,51907976.7695
97,51740820.5273
98,51809448.4844
99,51706454.9141
100,51736631.7656
