instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_1,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_2,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_3,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_4,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_5,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_6,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_7,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_8,1,262.02,265.061,283.433,0.0,0.0,0.0
arm_9,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_10,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_11,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_12,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_13,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_14,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_15,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_16,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_17,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_18,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_19,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_20,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_21,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_22,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_23,1,262.02,265.061,283.433,0.0,0.0,0.0
arm_24,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_25,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_26,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_27,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_28,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_29,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_30,1,262.02,265.061,283.433,0.0,0.0,0.0
arm_31,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_32,1,262.022,265.061,283.433,0.0,0.0,0.0
arm_33,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_34,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_35,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_36,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_37,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_38,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_39,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_40,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_41,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_42,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_43,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_44,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_45,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_46,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_47,1,262.02,265.061,283.433,0.0,0.0,0.0
arm_48,1,262.02,265.061,283.433,0.0,0.0,0.0
arm_49,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_50,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_51,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_52,1,262.021,265.061,283.433,0.0,0.0,0.0
arm_53,1,262.021,265.061,283.433,0.0,0.0,0.0
