epoch, total loss
1,117304554.227
2,110748185.645
3,104295440.947
4,98075500.3386
5,92252071.2422
6,86783342.0698
7,81880580.4492
8,77449777.1758
9,73473058.5195
10,70019906.3359
11,66980100.043
12,64757582.9922
13,61316673.2219
14,58592791.624
15,56092815.6919
16,54047347.4966
17,52225444.5811
18,50589325.9424
19,49033437.1299
20,48111139.9375
21,46712949.4385
22,45623095.2974
23,44800200.8926
24,44084769.9038
25,43303355.2939
26,42487338.4292
27,41800079.5781
28,41297766.9941
29,40782789.7949
30,40180985.8511
31,39752410.4268
32,39314020.3848
33,38967377.2422
34,38508700.0537
35,38175677.7319
36,37915347.7573
37,37958058.4692
38,37290940.4673
39,36988039.6025
40,36704749.8643
41,36473598.8083
42,36283236.4966
43,36179736.1504
44,36159368.5449
45,35830483.6859
46,35821905.752
47,35560079.9365
48,35499217.688
49,35287456.6279
50,35524590.7369
51,35081664.2705
52,34921141.7412
53,34908715.146
54,34818500.0935
55,34643023.2988
56,34653194.1694
57,34626887.7739
58,34521609.5518
59,34380044.5024
60,34362107.6602
61,34338166.3765
62,34212195.3252
63,34216022.2374
64,34228004.6992
65,34213865.9531
66,34083604.6211
67,34024575.1926
68,33968695.8486
69,33877195.3394
70,34175475.1436
71,34028734.9775
72,34038396.1025
73,33902986.2766
74,33802805.9663
75,33867765.5762
76,33717488.3818
77,33727055.3691
78,33786852.123
79,33799143.2634
80,33651419.814
81,33811876.5576
82,33732984.9111
83,33806228.4043
84,33544497.3779
85,33569487.7051
86,33736966.1055
87,33668521.6436
88,33700214.124
89,33675428.8699
90,33629186.3027
91,33526182.1917
92,33534157.21
93,33662520.0859
94,33380321.2812
95,33408502.1472
96,33512053.0173
97,33413228.98
98,33488984.6099
99,33240272.3521
100,33200089.3812
