instance,epoch,link0,link1,link2,link3,link4,link5
arm_89,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_90,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_91,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_92,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_93,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_94,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_95,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_96,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_97,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_98,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_99,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_100,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_101,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_102,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_103,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_104,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_105,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_106,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_107,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_108,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_109,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_110,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_111,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_112,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_113,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_114,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_115,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_116,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_117,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_118,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_119,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_120,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_121,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_122,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_123,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_124,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_125,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_126,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_127,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_128,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_129,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_130,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_131,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_132,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_133,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_134,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_135,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_136,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_137,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_138,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_139,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_140,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_141,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_142,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_143,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_144,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_145,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_146,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_147,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_148,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_149,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_150,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_151,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_152,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_153,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_154,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_155,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_156,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_157,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_158,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_159,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_160,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_161,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_162,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_163,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_164,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_165,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_166,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_167,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_168,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_169,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_170,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_171,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_172,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_173,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_174,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_175,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_176,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_177,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_178,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_179,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_180,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_181,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_182,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_183,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_184,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_185,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_186,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_187,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_188,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_189,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_190,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_191,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_192,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_193,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_194,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_195,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_196,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_197,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_198,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_199,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_200,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_201,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_202,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_203,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_204,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_205,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_206,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_207,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_208,1,294.732,289.565,285.993,0.0,265.295,0.0
arm_0,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_1,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_2,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_3,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_4,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_5,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_6,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_7,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_8,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_9,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_10,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_11,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_12,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_13,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_14,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_15,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_16,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_17,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_18,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_19,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_20,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_21,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_22,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_23,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_24,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_25,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_26,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_27,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_28,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_29,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_30,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_31,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_32,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_33,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_34,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_35,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_36,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_37,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_38,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_39,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_40,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_41,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_42,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_43,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_44,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_45,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_46,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_47,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_48,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_49,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_50,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_51,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_52,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_53,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_54,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_55,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_56,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_57,2,518.233,511.982,509.769,0.0,490.647,0.0
