epoch, total loss
1,194706316.688
2,187280769.5
3,179868933.094
4,172863402.031
5,166163156.531
6,159920740.156
7,154051734.844
8,148629147.781
9,143769742.688
10,139427066.344
11,135606469.5
12,132296628.656
13,129457677.891
14,127070399.25
15,125067438.188
16,123409337.438
17,122044593.125
18,120926612.906
19,120020906.672
20,119297783.203
21,118712584.234
22,118247975.766
23,117873388.969
24,117573645.172
25,117335713.891
26,117143673.641
27,116989783.094
28,116867972.453
29,116769341.016
30,116689304.062
31,116625844.781
32,116574092.25
33,116532397.375
34,116498950.734
35,116470556.281
36,114651776.391
37,114076335.453
38,113623611.141
39,113419267.641
40,113263727.016
41,113020683.469
42,112926789.344
43,112758881.0
44,112544673.828
45,112515900.0
46,112260169.172
47,112213490.047
48,112201470.594
49,112033688.984
50,111892546.375
51,112002838.172
52,111776352.625
53,111836514.891
54,111769326.516
55,111799023.938
56,111636740.312
57,111544037.344
58,111468172.328
59,111350441.328
60,111357889.141
61,111435699.203
62,111295549.906
63,111399151.406
64,111361682.828
65,111365417.391
66,111360081.125
67,111218013.469
68,111269340.438
69,111147584.891
70,111177521.531
71,111319840.484
72,111358447.531
73,111413654.953
74,111466932.359
75,111182355.125
76,111226018.391
77,111202290.328
78,111351011.547
79,111322019.5
80,111350628.25
81,111508907.875
82,111496817.312
83,111340976.719
84,111237609.203
85,111424461.062
86,111326413.812
87,111278306.062
88,111230764.984
89,111125468.391
90,111249873.703
91,111069846.719
92,111024014.516
93,111183152.219
94,111371227.312
95,111265825.891
96,111359735.891
97,111110546.141
98,111044386.438
99,111068786.984
100,111333713.703
