epoch, total loss
1,183998454.375
2,174877617.562
3,165819558.266
4,157099128.078
5,148662582.438
6,140654082.328
7,133120996.727
8,126119125.547
9,119701114.844
10,113910390.156
11,108740780.578
12,104216427.625
13,100305387.469
14,96984599.0938
15,94187973.5469
16,91870411.5781
17,89957562.7109
18,88401542.8438
19,87139415.5625
20,86124386.4219
21,85309133.8281
22,85061775.7812
23,82177312.9844
24,81240366.4531
25,80397220.0703
26,79679496.4141
27,79045327.7734
28,78508375.5312
29,78096886.8906
30,77637603.7344
31,77229485.4531
32,76925118.0625
33,76692767.75
34,76331411.2969
35,76104166.0859
36,75839168.7891
37,75629945.6719
38,75519494.2344
39,75318469.4297
40,75156720.1797
41,75027676.7109
42,74877026.3906
43,74727583.0
44,74608003.2969
45,74540415.2891
46,74484099.3828
47,74449564.1094
48,74305842.2109
49,74252155.0469
50,74117245.5156
51,74132110.3594
52,74038885.6875
53,73971288.7812
54,74120549.1406
55,73836125.4453
56,73789378.6875
57,73718888.9375
58,73743577.9219
59,73672671.9375
60,73640760.3594
61,73669559.1719
62,73626430.3125
63,73602267.9922
64,73512154.5781
65,73480205.875
66,73493535.4141
67,73391262.0781
68,73378874.4531
69,73329423.2578
70,73316108.5469
71,73367159.6953
72,73352629.7344
73,73350113.5625
74,73353226.2812
75,73270680.6094
76,73227326.6875
77,73184559.3594
78,73196974.3594
79,73218576.2812
80,73214447.3281
81,73211532.6406
82,73155949.5234
83,73115270.0781
84,73078589.875
85,73073589.2812
86,73070975.8125
87,73139862.5
88,73053188.5938
89,73031867.6875
90,72994744.5312
91,73029639.7578
92,73109709.4219
93,73089677.3125
94,73038603.5625
95,73027050.8438
96,72994469.4844
97,72974238.4844
98,72962539.5312
99,72899356.1328
100,73010644.6328
