Frame	Candidate	Score
0	(0.101, 0.207, 0.28, 0.094)	-700.914821245
0	(0.188, 0.095, 0.191, 0.094)	-776.283866164
0	(0.21, 0.107, 0.207, 0.288)	-665.810287275
0	(0.117, 0.31, 0.089, 0.188)	-677.355622559
0	(0.207, 0.089, 0.188, 0.376)	-663.53111165
0	(0.117, 0.207, 0.107, 0.188)	-751.192710512
0	(0.117, 0.31, 0.089, 0.194)	-674.510395786
0	(0.31, 0.107, 0.281, 0.191)	-627.360183544
0	(0.101, 0.107, 0.28, 0.126)	-760.516811753
0	(0.31, 0.18, 0.103, 0.094)	-685.283159985
0	(0.101, 0.188, 0.194, 0.126)	-767.811770891
0	(0.101, 0.21, 0.31, 0.089)	-689.375424044
0	(0.207, 0.18, 0.191, 0.094)	-695.834200793
0	(0.21, 0.188, 0.194, 0.094)	-687.644027251
0	(0.21, 0.101, 0.288, 0.194)	-673.647277494
0	(0.188, 0.194, 0.094, 0.099)	-767.231218999
0	(0.207, 0.18, 0.191, 0.099)	-692.81095389
0	(0.188, 0.194, 0.126, 0.394)	-672.446948876
0	(0.31, 0.18, 0.191, 0.285)	-626.900630731
0	(0.31, 0.18, 0.191, 0.099)	-631.351646236
0	(0.117, 0.101, 0.188, 0.194)	-764.865003578
0	(0.207, 0.089, 0.095, 0.103)	-872.801776667
0	(0.101, 0.21, 0.486, 0.095)	-669.085680215
0	(0.207, 0.107, 0.21, 0.584)	-626.588976244
0	(0.31, 0.089, 0.095, 0.219)	-673.978483519
0	(0.101, 0.21, 0.486, 0.103)	-668.720089328
0	(0.107, 0.089, 0.285, 0.099)	-781.415293328
0	(0.101, 0.288, 0.095, 0.191)	-690.344698593
0	(0.117, 0.21, 0.107, 0.089)	-822.96464476
0	(0.117, 0.31, 0.107, 0.281)	-662.335632347
0	(0.188, 0.089, 0.18, 0.191)	-704.285084935
0	(0.117, 0.101, 0.107, 0.28)	-750.459938481
0	(0.101, 0.207, 0.089, 0.194)	-764.568553528
0	(0.117, 0.288, 0.095, 0.18)	-686.84354807
0	(0.21, 0.188, 0.194, 0.103)	-685.456638482
0	(0.188, 0.089, 0.28, 0.094)	-725.95788579
0	(0.117, 0.392, 0.089, 0.18)	-656.935132672
0	(0.31, 0.107, 0.101, 0.288)	-674.119074927
0	(0.107, 0.207, 0.288, 0.095)	-692.969439234
0	(0.107, 0.207, 0.382, 0.103)	-671.156813103
0	(0.207, 0.107, 0.21, 0.392)	-665.230324901
0	(0.188, 0.095, 0.103, 0.126)	-841.095835983
0	(0.117, 0.21, 0.107, 0.28)	-661.242015562
0	(0.207, 0.107, 0.281, 0.191)	-673.073194099
0	(0.117, 0.392, 0.089, 0.28)	-636.579270889
0	(0.188, 0.089, 0.207, 0.476)	-648.405192055
0	(0.101, 0.107, 0.089, 0.285)	-758.144528308
0	(0.21, 0.107, 0.18, 0.191)	-679.958116626
0	(0.107, 0.18, 0.191, 0.285)	-657.688694389
0	(0.117, 0.207, 0.089, 0.095)	-848.863895119
0	(0.31, 0.107, 0.101, 0.382)	-663.285106164
0	(0.207, 0.18, 0.103, 0.126)	-759.183324497
0	(0.21, 0.101, 0.288, 0.095)	-697.168215558
0	(0.117, 0.207, 0.089, 0.188)	-767.841845958
0	(0.107, 0.207, 0.117, 0.486)	-659.892931837
0	(0.101, 0.188, 0.095, 0.18)	-775.178342887
0	(0.101, 0.188, 0.089, 0.28)	-698.693175953
0	(0.207, 0.18, 0.095, 0.285)	-667.254566546
0	(0.101, 0.107, 0.089, 0.095)	-1011.91257527
0	(0.117, 0.21, 0.188, 0.194)	-670.375217138
0	(0.31, 0.18, 0.191, 0.094)	-633.413752262
0	(0.107, 0.18, 0.095, 0.285)	-690.096559923
0	(0.117, 0.31, 0.089, 0.095)	-773.140113624
0	(0.207, 0.18, 0.095, 0.188)	-688.275955636
0	(0.207, 0.089, 0.188, 0.21)	-672.715656379
0	(0.117, 0.392, 0.089, 0.107)	-675.75547957
0	(0.117, 0.21, 0.188, 0.095)	-755.322557085
0	(0.31, 0.107, 0.188, 0.095)	-685.167739117
0	(0.117, 0.101, 0.281, 0.103)	-772.159582204
0	(0.21, 0.101, 0.207, 0.18)	-684.176681695
0	(0.101, 0.188, 0.089, 0.18)	-777.3411239
0	(0.21, 0.107, 0.18, 0.095)	-763.010747816
0	(0.207, 0.18, 0.191, 0.285)	-681.424587773
0	(0.107, 0.089, 0.285, 0.191)	-683.242722966
0	(0.117, 0.207, 0.18, 0.103)	-762.624628566
0	(0.207, 0.107, 0.188, 0.285)	-668.797644935
0	(0.188, 0.194, 0.103, 0.191)	-686.008216898
0	(0.101, 0.288, 0.095, 0.18)	-699.653352895
0	(0.31, 0.107, 0.281, 0.103)	-627.646817823
0	(0.21, 0.188, 0.194, 0.126)	-684.200903598
0	(0.101, 0.288, 0.089, 0.31)	-664.25083961
0	(0.101, 0.207, 0.28, 0.103)	-694.677768625
0	(0.101, 0.207, 0.18, 0.191)	-680.58932907
0	(0.101, 0.21, 0.392, 0.095)	-672.820001259
0	(0.207, 0.089, 0.194, 0.103)	-765.292185435
0	(0.117, 0.21, 0.281, 0.103)	-685.760592706
0	(0.117, 0.392, 0.095, 0.191)	-649.88918654
0	(0.21, 0.188, 0.095, 0.103)	-761.212598149
0	(0.117, 0.392, 0.188, 0.107)	-634.735233202
0	(0.107, 0.089, 0.194, 0.094)	-893.043689198
0	(0.101, 0.117, 0.31, 0.18)	-683.027964294
0	(0.101, 0.288, 0.089, 0.18)	-705.5771833
0	(0.117, 0.288, 0.089, 0.107)	-773.096576627
0	(0.188, 0.089, 0.28, 0.126)	-699.36944983
0	(0.207, 0.107, 0.188, 0.194)	-677.536519088
0	(0.101, 0.107, 0.18, 0.103)	-878.665983328
0	(0.31, 0.089, 0.095, 0.191)	-687.067011427
0	(0.207, 0.107, 0.281, 0.095)	-698.856539927
0	(0.207, 0.089, 0.095, 0.219)	-754.42769776
0	(0.101, 0.117, 0.392, 0.089)	-698.103881728
0	(0.117, 0.207, 0.107, 0.376)	-660.065935813
0	(0.207, 0.089, 0.188, 0.281)	-665.524779827
0	(0.207, 0.089, 0.194, 0.094)	-767.007045656
0	(0.107, 0.18, 0.103, 0.094)	-896.341287654
0	(0.21, 0.188, 0.095, 0.191)	-683.01600065
0	(0.31, 0.089, 0.188, 0.101)	-689.240345986
0	(0.117, 0.31, 0.18, 0.103)	-679.764202072
0	(0.188, 0.089, 0.207, 0.382)	-661.109059053
0	(0.188, 0.095, 0.103, 0.094)	-906.8462975
0	(0.31, 0.107, 0.281, 0.095)	-627.940741253
0	(0.117, 0.101, 0.107, 0.089)	-973.39593593
0	(0.101, 0.188, 0.095, 0.103)	-888.805656654
0	(0.117, 0.31, 0.107, 0.376)	-655.150561766
0	(0.188, 0.095, 0.191, 0.099)	-774.887487739
0	(0.21, 0.101, 0.382, 0.095)	-668.173371041
0	(0.21, 0.101, 0.207, 0.28)	-664.207968333
0	(0.207, 0.107, 0.188, 0.095)	-762.912364808
0	(0.188, 0.095, 0.18, 0.207)	-684.019433638
0	(0.188, 0.089, 0.28, 0.103)	-716.880705056
0	(0.188, 0.095, 0.18, 0.31)	-663.621405923
0	(0.107, 0.089, 0.095, 0.219)	-835.410459162
0	(0.117, 0.288, 0.095, 0.103)	-772.632416704
0	(0.101, 0.107, 0.089, 0.194)	-874.194000023
0	(0.107, 0.089, 0.194, 0.126)	-830.193061064
0	(0.188, 0.089, 0.207, 0.117)	-766.436821151
0	(0.117, 0.288, 0.095, 0.191)	-678.363132209
0	(0.31, 0.18, 0.095, 0.194)	-673.716860331
0	(0.107, 0.089, 0.095, 0.103)	-1008.50756352
0	(0.21, 0.107, 0.207, 0.476)	-633.679858572
0	(0.101, 0.107, 0.18, 0.191)	-764.938648095
0	(0.31, 0.089, 0.188, 0.376)	-665.430458795
0	(0.107, 0.207, 0.288, 0.285)	-672.912445717
0	(0.31, 0.089, 0.194, 0.094)	-689.262419965
0	(0.101, 0.21, 0.31, 0.18)	-682.581914849
0	(0.107, 0.207, 0.117, 0.392)	-659.545838666
0	(0.117, 0.101, 0.188, 0.095)	-865.113473895
0	(0.117, 0.31, 0.18, 0.191)	-669.673030133
0	(0.101, 0.288, 0.194, 0.126)	-686.201581951
0	(0.117, 0.31, 0.107, 0.188)	-670.274721967
0	(0.207, 0.18, 0.103, 0.194)	-681.286940668
0	(0.117, 0.288, 0.188, 0.107)	-688.844121177
0	(0.117, 0.207, 0.107, 0.281)	-662.141715906
0	(0.31, 0.107, 0.188, 0.285)	-669.672537266
0	(0.107, 0.18, 0.095, 0.194)	-765.973779971
0	(0.101, 0.207, 0.28, 0.126)	-686.003203346
0	(0.101, 0.117, 0.31, 0.28)	-670.6083347
0	(0.117, 0.392, 0.188, 0.281)	-632.483388595
0	(0.107, 0.207, 0.382, 0.095)	-671.224740582
0	(0.117, 0.101, 0.281, 0.095)	-773.428693194
0	(0.31, 0.18, 0.103, 0.126)	-681.840036332
0	(0.107, 0.207, 0.382, 0.191)	-671.135712571
0	(0.21, 0.101, 0.288, 0.089)	-700.6590864
0	(0.101, 0.188, 0.194, 0.103)	-770.037751377
0	(0.207, 0.089, 0.095, 0.191)	-764.811637118
0	(0.188, 0.194, 0.103, 0.219)	-673.129039835
0	(0.101, 0.21, 0.31, 0.28)	-682.054082955
0	(0.101, 0.21, 0.486, 0.18)	-662.874130702
0	(0.101, 0.207, 0.18, 0.095)	-768.941182238
0	(0.107, 0.089, 0.194, 0.103)	-874.355584932
0	(0.117, 0.288, 0.188, 0.376)	-661.925345125
0	(0.21, 0.107, 0.207, 0.382)	-666.017432872
0	(0.21, 0.107, 0.089, 0.285)	-674.706631161
0	(0.117, 0.207, 0.18, 0.095)	-764.638905003
0	(0.101, 0.117, 0.392, 0.095)	-695.422604196
0	(0.21, 0.107, 0.089, 0.194)	-764.543969952
0	(0.31, 0.089, 0.095, 0.103)	-764.172833778
0	(0.117, 0.207, 0.18, 0.191)	-673.646100773
0	(0.21, 0.107, 0.089, 0.095)	-858.735687693
0	(0.31, 0.107, 0.101, 0.476)	-663.396093464
0	(0.101, 0.21, 0.392, 0.194)	-672.262977874
0	(0.101, 0.288, 0.089, 0.28)	-664.639139452
0	(0.207, 0.089, 0.194, 0.126)	-757.414373269
0	(0.21, 0.188, 0.089, 0.28)	-668.973044286
0	(0.101, 0.288, 0.194, 0.103)	-698.754978498
0	(0.117, 0.207, 0.089, 0.194)	-767.337269255
0	(0.117, 0.101, 0.107, 0.18)	-842.941439076
0	(0.107, 0.18, 0.191, 0.094)	-776.04609055
0	(0.101, 0.107, 0.18, 0.095)	-895.148009681
0	(0.101, 0.107, 0.28, 0.094)	-778.401251375
0	(0.188, 0.194, 0.126, 0.099)	-753.969124498
0	(0.107, 0.207, 0.117, 0.584)	-659.794322257
0	(0.117, 0.288, 0.089, 0.18)	-689.274858611
0	(0.101, 0.188, 0.095, 0.191)	-766.697927026
0	(0.107, 0.207, 0.288, 0.194)	-677.969213844
0	(0.101, 0.117, 0.31, 0.089)	-755.746537177
0	(0.117, 0.21, 0.281, 0.095)	-688.722950306
0	(0.117, 0.101, 0.188, 0.089)	-875.855173288
0	(0.188, 0.089, 0.18, 0.103)	-783.669404905
0	(0.101, 0.107, 0.28, 0.103)	-776.213862606
0	(0.117, 0.392, 0.188, 0.376)	-603.369660146
0	(0.188, 0.089, 0.18, 0.219)	-678.639970335
0	(0.117, 0.392, 0.095, 0.103)	-673.870190154
0	(0.207, 0.18, 0.095, 0.194)	-684.017706049
0	(0.117, 0.21, 0.281, 0.18)	-680.789088469
0	(0.101, 0.117, 0.486, 0.18)	-672.562446722
0	(0.31, 0.107, 0.188, 0.194)	-678.358602332
0	(0.21, 0.107, 0.18, 0.103)	-762.397282252
0	(0.101, 0.288, 0.194, 0.094)	-703.602709404
0	(0.188, 0.095, 0.103, 0.28)	-690.109648141
0	(0.101, 0.117, 0.392, 0.194)	-686.160138245
0	(0.21, 0.101, 0.382, 0.18)	-667.201425296
0	(0.117, 0.101, 0.281, 0.18)	-682.744411796
0	(0.21, 0.188, 0.095, 0.18)	-690.682512776
0	(0.101, 0.207, 0.089, 0.285)	-677.567074002
0	(0.101, 0.117, 0.486, 0.095)	-673.200171469
0	(0.101, 0.21, 0.392, 0.089)	-673.025843242
0	(0.31, 0.089, 0.194, 0.126)	-686.044708233
0	(0.207, 0.107, 0.281, 0.103)	-695.303844053
0	(0.31, 0.18, 0.095, 0.188)	-675.16629896
0	(0.101, 0.207, 0.18, 0.103)	-767.334115579
0	(0.117, 0.392, 0.095, 0.18)	-656.575777081
0	(0.117, 0.21, 0.107, 0.18)	-760.32049618
0	(0.101, 0.207, 0.089, 0.095)	-882.400156596
0	(0.188, 0.194, 0.126, 0.219)	-673.536798054
0	(0.117, 0.288, 0.188, 0.281)	-662.001610711
0	(0.107, 0.089, 0.285, 0.094)	-783.767500873
0	(0.207, 0.107, 0.21, 0.486)	-629.105021476
0	(0.101, 0.117, 0.486, 0.103)	-672.838561697
0	(0.117, 0.21, 0.188, 0.089)	-757.672758928
0	(0.188, 0.095, 0.18, 0.28)	-664.333947331
0	(0.207, 0.18, 0.103, 0.094)	-763.027785676
0	(0.21, 0.101, 0.382, 0.103)	-667.643230218
0	(0.117, 0.31, 0.18, 0.095)	-683.132962436
0	(0.117, 0.21, 0.107, 0.089, 0.194)	-1157.13066609
0	(0.207, 0.107, 0.188, 0.095, 0.103)	-1161.14005753
0	(0.107, 0.089, 0.095, 0.191, 0.094)	-1255.50619402
0	(0.188, 0.194, 0.094, 0.191, 0.382)	-1113.48776014
0	(0.31, 0.18, 0.103, 0.126, 0.306)	-1098.43655652
0	(0.101, 0.207, 0.18, 0.103, 0.126)	-1153.79725456
0	(0.188, 0.194, 0.126, 0.219, 0.18)	-1102.42606325
0	(0.117, 0.392, 0.095, 0.18, 0.28)	-1079.23187231
0	(0.188, 0.194, 0.126, 0.099, 0.191)	-1149.89319813
0	(0.31, 0.089, 0.188, 0.281, 0.191)	-1097.49503088
0	(0.117, 0.392, 0.089, 0.18, 0.219)	-1081.82074734
0	(0.117, 0.392, 0.089, 0.107, 0.281)	-1090.91911642
0	(0.31, 0.18, 0.191, 0.099, 0.306)	-1089.32798487
0	(0.101, 0.207, 0.28, 0.126, 0.219)	-1102.14273085
0	(0.101, 0.188, 0.095, 0.18, 0.28)	-1148.93007581
0	(0.21, 0.107, 0.18, 0.191, 0.285)	-1103.54396841
0	(0.207, 0.089, 0.194, 0.094, 0.099)	-1166.35891979
0	(0.101, 0.207, 0.089, 0.285, 0.099)	-1112.67306038
0	(0.107, 0.089, 0.194, 0.126, 0.219)	-1152.76393394
0	(0.107, 0.18, 0.103, 0.094, 0.567)	-1138.62077047
0	(0.101, 0.188, 0.194, 0.094, 0.191)	-1149.68915797
0	(0.117, 0.31, 0.18, 0.191, 0.285)	-1091.18107451
0	(0.101, 0.288, 0.089, 0.28, 0.103)	-1100.00894511
0	(0.207, 0.18, 0.191, 0.285, 0.306)	-1101.3265163
0	(0.107, 0.207, 0.288, 0.095, 0.103)	-1113.40930693
0	(0.101, 0.21, 0.31, 0.28, 0.103)	-1149.3521696
0	(0.21, 0.188, 0.194, 0.094, 0.099)	-1108.624
0	(0.188, 0.089, 0.28, 0.094, 0.099)	-1135.76391435
0	(0.31, 0.107, 0.188, 0.095, 0.219)	-1101.83068765
0	(0.101, 0.117, 0.392, 0.095, 0.103)	-1115.62268299
0	(0.101, 0.207, 0.28, 0.094, 0.285)	-1115.55217931
0	(0.207, 0.107, 0.188, 0.194, 0.094)	-1108.35880224
0	(0.101, 0.117, 0.392, 0.194, 0.126)	-1108.38064927
0	(0.101, 0.107, 0.28, 0.126, 0.306)	-1106.13370464
0	(0.117, 0.31, 0.18, 0.095, 0.194)	-1098.58261221
0	(0.207, 0.107, 0.281, 0.103, 0.094)	-1119.72344385
0	(0.188, 0.095, 0.191, 0.099, 0.583)	-1118.89601778
0	(0.101, 0.188, 0.089, 0.31, 0.486)	-1109.46545613
0	(0.31, 0.089, 0.188, 0.281, 0.219)	-1097.40678172
0	(0.21, 0.101, 0.288, 0.194, 0.103)	-1101.36478787
0	(0.117, 0.101, 0.188, 0.194, 0.126)	-1152.57111803
0	(0.107, 0.089, 0.285, 0.099, 0.126)	-1155.86525971
0	(0.117, 0.207, 0.107, 0.188, 0.194)	-1136.71485441
0	(0.101, 0.288, 0.095, 0.191, 0.368)	-1112.18549976
0	(0.21, 0.188, 0.089, 0.28, 0.103)	-1099.23967042
0	(0.31, 0.18, 0.191, 0.099, 0.485)	-1074.43715161
0	(0.117, 0.101, 0.281, 0.095, 0.089)	-1164.10983973
0	(0.117, 0.21, 0.107, 0.28, 0.126)	-1097.84765168
0	(0.207, 0.18, 0.191, 0.099, 0.485)	-1106.16323235
0	(0.117, 0.31, 0.107, 0.188, 0.194)	-1094.59348827
0	(0.107, 0.089, 0.095, 0.191, 0.099)	-1254.09546382
0	(0.101, 0.21, 0.486, 0.103, 0.126)	-1119.86484717
0	(0.101, 0.117, 0.31, 0.089, 0.285)	-1132.82911856
0	(0.117, 0.207, 0.107, 0.376, 0.094)	-1108.77542666
0	(0.21, 0.101, 0.207, 0.28, 0.094)	-1098.72385483
0	(0.188, 0.089, 0.28, 0.126, 0.219)	-1113.5890684
0	(0.21, 0.107, 0.207, 0.288, 0.194)	-1098.9018254
0	(0.117, 0.392, 0.188, 0.376, 0.103)	-1033.3469013
0	(0.188, 0.089, 0.18, 0.191, 0.094)	-1126.25021545
0	(0.21, 0.107, 0.207, 0.382, 0.191)	-1099.37986153
0	(0.101, 0.21, 0.392, 0.194, 0.126)	-1125.16273838
0	(0.117, 0.392, 0.188, 0.281, 0.191)	-1076.05605394
0	(0.188, 0.089, 0.207, 0.476, 0.094)	-1084.51373628
0	(0.101, 0.288, 0.089, 0.28, 0.126)	-1097.47694155
0	(0.101, 0.207, 0.089, 0.285, 0.191)	-1109.65339715
0	(0.188, 0.089, 0.28, 0.126, 0.583)	-1107.98407484
0	(0.188, 0.095, 0.103, 0.126, 0.099)	-1234.88758079
0	(0.117, 0.21, 0.107, 0.28, 0.103)	-1098.03045147
0	(0.101, 0.288, 0.194, 0.103, 0.18)	-1114.73430007
0	(0.207, 0.18, 0.103, 0.126, 0.306)	-1138.24848245
0	(0.117, 0.101, 0.281, 0.18, 0.368)	-1103.34108726
0	(0.101, 0.21, 0.31, 0.089, 0.194)	-1109.36920224
0	(0.107, 0.18, 0.095, 0.194, 0.476)	-1127.66298381
0	(0.21, 0.101, 0.288, 0.194, 0.126)	-1100.13556641
0	(0.101, 0.107, 0.28, 0.103, 0.219)	-1137.41292934
0	(0.207, 0.107, 0.281, 0.191, 0.094)	-1104.0951301
0	(0.107, 0.089, 0.095, 0.219, 0.126)	-1217.42414032
0	(0.31, 0.18, 0.103, 0.126, 0.099)	-1106.99753022
0	(0.117, 0.101, 0.188, 0.095, 0.191)	-1157.91529609
0	(0.31, 0.18, 0.103, 0.094, 0.285)	-1101.81211723
0	(0.117, 0.21, 0.107, 0.089, 0.285)	-1151.71428902
0	(0.107, 0.18, 0.095, 0.285, 0.567)	-1100.82366788
0	(0.188, 0.194, 0.094, 0.099, 0.219)	-1154.46277934
0	(0.117, 0.288, 0.095, 0.103, 0.28)	-1135.23590958
0	(0.21, 0.101, 0.382, 0.103, 0.126)	-1102.66068324
0	(0.101, 0.107, 0.28, 0.094, 0.285)	-1120.22902618
0	(0.207, 0.089, 0.095, 0.191, 0.467)	-1119.62127339
0	(0.31, 0.18, 0.191, 0.094, 0.194)	-1090.73790926
0	(0.21, 0.101, 0.207, 0.089, 0.194)	-1151.92899137
0	(0.21, 0.188, 0.095, 0.18, 0.28)	-1111.15458825
0	(0.188, 0.089, 0.18, 0.191, 0.099)	-1124.25122078
0	(0.107, 0.089, 0.194, 0.094, 0.099)	-1246.88807115
0	(0.117, 0.31, 0.089, 0.188, 0.376)	-1098.35880016
0	(0.21, 0.188, 0.194, 0.126, 0.219)	-1100.81494911
0	(0.107, 0.089, 0.194, 0.103, 0.191)	-1162.63838133
0	(0.101, 0.21, 0.31, 0.28, 0.126)	-1134.21240697
0	(0.117, 0.207, 0.089, 0.188, 0.467)	-1142.47166765
0	(0.107, 0.089, 0.194, 0.126, 0.583)	-1142.08354565
0	(0.101, 0.117, 0.392, 0.194, 0.103)	-1113.97202339
0	(0.117, 0.21, 0.281, 0.095, 0.285)	-1107.21476978
0	(0.117, 0.207, 0.107, 0.281, 0.095)	-1098.27206308
0	(0.188, 0.089, 0.18, 0.103, 0.476)	-1120.93573839
0	(0.117, 0.31, 0.089, 0.194, 0.126)	-1097.46861587
0	(0.188, 0.089, 0.28, 0.103, 0.219)	-1125.30054149
0	(0.101, 0.21, 0.392, 0.095, 0.18)	-1108.87956562
0	(0.101, 0.188, 0.194, 0.094, 0.099)	-1169.72087499
0	(0.31, 0.089, 0.095, 0.103, 0.094)	-1169.03539247
0	(0.31, 0.107, 0.281, 0.103, 0.126)	-1097.52109874
0	(0.207, 0.18, 0.095, 0.188, 0.21)	-1110.55445076
0	(0.117, 0.288, 0.188, 0.281, 0.191)	-1090.70103538
0	(0.21, 0.188, 0.095, 0.103, 0.126)	-1161.54125804
0	(0.21, 0.107, 0.207, 0.288, 0.095)	-1100.20690147
0	(0.31, 0.18, 0.103, 0.094, 0.467)	-1101.66302265
