instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_1,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_2,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_3,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_4,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_5,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_6,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_7,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_8,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_9,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_10,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_11,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_12,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_13,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_14,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_15,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_16,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_17,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_18,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_19,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_20,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_21,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_22,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_23,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_24,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_25,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_26,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_27,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_28,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_29,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_30,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_31,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_32,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_33,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_34,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_35,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_36,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_37,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_38,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_39,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_40,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_41,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_42,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_43,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_44,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_45,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_46,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_47,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_48,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_49,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_50,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_51,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_52,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_53,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_54,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_55,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_56,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_57,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_58,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_59,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_60,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_61,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_62,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_63,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_64,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_65,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_66,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_67,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_68,1,282.426,269.387,278.527,273.37,265.778,277.345
arm_69,1,282.426,269.387,278.527,273.37,265.778,277.345
