epoch, total loss
1,216610410.375
2,205844848.75
3,195128774.969
4,184863892.844
5,175017029.125
6,165634726.969
7,156686047.641
8,148384219.094
9,140755318.844
10,133849153.406
11,127689583.125
12,122276711.328
13,117546813.828
14,113518686.875
15,110117956.438
16,107275245.141
17,104913625.75
18,102967463.016
19,101366791.406
20,100062416.922
21,98994067.2812
22,98117086.9531
23,97408805.9531
24,96825462.9688
25,96345014.2969
26,95955525.1406
27,95632361.7969
28,95367085.9688
29,95145765.0469
30,94962875.0312
31,94811514.5156
32,94682950.9844
33,94577403.9219
34,94485862.1875
35,94409542.5
36,94346512.0625
37,94290290.75
38,94246305.9375
39,94206482.9688
40,94170293.4062
41,94141211.8281
42,94117115.8594
43,94094967.5625
44,94075364.9531
45,94058226.9688
46,94043489.9531
47,94030471.7656
48,94020049.5625
49,94009638.0
50,94001673.7656
51,93993720.9844
52,93986897.5625
53,93982367.9531
54,93977649.2031
55,93973702.5156
56,93969304.875
57,93966472.375
58,93963363.1562
59,93960292.1719
60,93957168.0469
61,93955211.2969
62,93953102.1406
63,93951596.8594
64,93950378.5
65,93949815.2969
66,93947272.5156
67,93946797.5156
68,93944686.5312
69,93944816.9531
70,93945556.2031
71,93943686.0
72,93943011.3438
73,93943946.5469
74,93942500.4219
75,93943259.4219
76,93943650.9375
77,93943203.75
78,93944593.375
79,93944202.625
80,93941970.8281
81,93941853.7344
82,93941295.0625
83,93941365.6094
84,93942603.1719
85,93941850.3438
86,93940917.9375
87,93940075.5156
88,93941072.4844
89,93940523.875
90,93940333.1094
91,93940691.0312
92,93940316.2188
93,93941122.625
94,93940481.3594
95,93939491.1406
96,93939469.5938
97,93938629.3438
98,93939891.8594
99,93940419.1406
100,93940760.7344
