n-Links	True Length	Predicted Length
4	9420.72184071	8456.30995175
4	9300.53761887	7894.76269434
4	9394.14711403	7930.53308423
4	11842.7192823	10451.947474
4	10283.4819006	9793.64467397
4	9313.9680051	8377.52612649
4	9192.38815543	8633.54093058
4	8703.44759276	6855.78398143
4	6819.09084849	6564.77269218
4	10210.2889283	8624.46694005
4	7648.52927039	8103.48721231
4	10319.8837203	9082.61162882
4	9552.48658727	8120.42394214
4	10428.3268073	10097.3507417
4	8077.7472107	6162.53507089
4	9394.14711403	7321.47225632
4	9394.14711403	7390.04404588
4	8366.60026534	7044.06324503
4	7483.31477355	7681.36595925
4	7483.31477355	8792.50021325
4	8789.19791562	7335.42023336
4	8077.7472107	8394.74835835
4	9340.77084613	7941.72846426
4	8645.8082329	8343.71577896
4	6708.2039325	8100.25623052
4	7794.22863406	6951.08905136
4	7449.83221288	7713.19479853
4	10368.2206767	10328.3895163
4	7176.3500472	7240.99323298
4	9695.35971483	8151.27315209
4	9886.85996664	8778.29015242
4	10295.630141	9475.66156002
4	8789.19791562	8014.39823068
4	10111.8742081	9072.26322369
4	8631.33825082	8607.31404098
4	9137.83344125	8529.45766154
4	9041.57066001	8726.55470389
4	9407.44386111	10611.5812205
4	8789.19791562	8087.05700487
4	9178.77987534	7911.97453231
4	9407.44386111	9315.34969821
4	10488.0884817	8881.60120699
4	10210.2889283	8369.81433486
4	9027.73504263	8128.8397081
4	10024.9688279	10360.8222647
4	7158.91053164	7185.27988321
4	9340.77084613	6949.77251426
4	9192.38815543	8643.73079174
4	8717.79788708	8701.39253223
4	10559.356041	9011.50431393
4	9273.6184955	9497.7273071
4	7566.37297521	7753.12878779
4	10368.2206767	8981.47710569
4	9874.20882907	9642.40156807
4	7729.81241687	6543.48271183
4	9924.71662064	8588.2990749
4	7968.68872525	6965.27479716
4	6595.45297914	6805.85688947
4	7697.40215917	6733.6076883
4	9669.53980291	8204.67884807
4	10049.8756211	8817.1917298
4	9273.6184955	8780.46433852
4	7729.81241687	8882.85899922
4	8717.79788708	7633.18256037
4	7566.37297521	7722.47648103
4	8336.66600027	7966.45680337
4	9848.8578018	9260.84736944
4	7000.0	6644.7751655
4	8616.84396981	7452.32916611
4	9447.22181385	8696.91658003
4	9630.68014213	9444.1702653
4	10074.7208398	10377.3676816
4	9233.09265631	8877.13681318
4	8031.1892021	6133.36893559
4	9552.48658727	9408.55801917
4	8351.64654425	7151.20283589
4	9460.44396421	10182.8457712
4	9219.54445729	7319.8457634
4	9460.44396421	7834.12477562
4	7262.91952317	6780.31407827
4	8093.20702812	8253.58031402
4	6892.02437605	8647.18786658
4	10464.2247682	8960.23961733
4	11045.3610172	10171.6278933
4	8860.02257333	8108.35340868
4	8558.62138431	8563.94044818
4	8031.1892021	8710.18518747
4	7778.17459305	7830.95741273
4	8093.20702812	7184.76909859
4	9354.14346693	8494.46449166
4	10024.9688279	9686.98632187
4	10111.8742081	9616.17605912
4	10781.9293264	9453.80166917
4	7211.10255093	8379.82607218
4	7035.62363974	7074.4225206
4	8440.97150807	8191.86382943
4	7697.40215917	6981.04068173
4	8291.56197589	6532.52386142
4	7968.68872525	6415.19399551
4	9027.73504263	7972.21205187
4	8200.60973343	7858.78400263
4	8986.10037781	9172.24356415
4	9460.44396421	9051.22378466
4	9987.49217772	9852.21974988
4	9874.20882907	8086.51939959
4	9192.38815543	9312.83576576
4	6910.13748054	7305.09240188
5	10665.3645039	7739.45824977
5	9233.09265631	7266.17898211
5	10559.356041	9167.80726237
5	10665.3645039	8414.09234558
5	9096.70269933	6979.68580955
5	10037.4299499	6871.11381073
5	9987.49217772	8637.78594317
5	11390.7857499	10286.6272412
5	10368.2206767	9056.47182958
5	9460.44396421	8309.83573845
5	9617.69203084	7657.2015776
5	10037.4299499	8492.52906972
5	10074.7208398	8278.26733079
5	7331.43914931	6410.47642535
5	10210.2889283	8561.4495268
5	10024.9688279	8800.99539825
5	9340.77084613	8078.94071027
5	6964.19413859	5597.35910944
5	9643.65076099	7681.24631814
5	11500.0	8496.03283892
5	10559.356041	8694.90574992
5	10511.8980208	10286.5715377
5	11958.2607431	10170.1109138
5	10920.1648339	8995.99866607
5	8888.19441732	7301.14367753
5	9287.0878105	7741.42034771
5	10246.950766	9399.96872335
5	8396.42781187	5682.64348697
5	8703.44759276	7557.42118715
5	10074.7208398	7221.05920208
5	9151.50260886	8150.72082702
5	9785.19289539	8710.61398525
5	9013.87818866	6099.72228876
5	9313.9680051	7314.29265206
5	11135.5287257	10286.6778894
5	11135.5287257	9638.32506196
5	10000.0	8546.84901002
5	12658.9889012	10286.6778894
5	10319.8837203	8703.42507292
5	10488.0884817	8873.10137438
5	9500.0	6863.33475797
5	9630.68014213	7733.73894051
5	10368.2206767	8626.37710745
5	7648.52927039	4210.70433538
5	8703.44759276	6399.00031255
5	10977.2492001	9160.84035447
5	10920.1648339	8451.89682852
5	11821.5904175	9571.29009068
5	9974.96867163	8646.02463563
5	9260.12958873	6675.25355324
5	9000.0	7798.86946935
5	10319.8837203	8852.87139859
5	9500.0	7394.92332617
5	10862.7804912	9163.99803579
5	12419.7423484	10286.6778894
5	9340.77084613	6926.85195453
5	10185.7743937	8247.83995965
5	10851.2672071	10187.7274208
5	10688.7791632	8908.78689834
5	9013.87818866	8794.77208346
5	11302.6545555	9047.82725299
5	9886.85996664	7291.69095615
5	9447.22181385	8776.0688238
5	9937.30345718	7177.50882967
5	12114.0414396	10286.6744869
5	10074.7208398	8837.83717886
5	10908.7121146	10286.6766256
5	9874.20882907	7906.61216957
5	10559.356041	6960.60845042
5	11011.3577728	8706.6238003
5	10148.8915651	9482.04418889
5	11842.7192823	8935.63472843
5	8958.23643358	6601.57178254
5	9810.70843517	7892.81705096
5	11401.754251	10284.9541564
5	9260.12958873	8919.97376678
5	8930.28554975	7040.21029515
5	10148.8915651	8160.54753065
5	9513.14879522	7329.55162339
5	11379.8066767	8620.5349022
5	9772.41014285	8030.60352651
5	11236.1025271	10286.677695
5	10500.0	7364.76985384
5	11651.1801977	10282.9076627
5	11565.0335062	10192.5221609
5	10511.8980208	9824.65714415
5	11726.0393996	10286.6778894
5	11236.1025271	10286.6565997
5	9874.20882907	9316.37515346
5	10136.5674664	8442.16168999
5	8703.44759276	7117.7277273
5	12389.5116934	10286.677695
5	10111.8742081	8523.28399151
5	12103.7184369	8956.19919385
5	11202.6782512	8107.08986012
5	9578.62203033	8212.41219131
5	10074.7208398	7764.56122392
5	10747.0926301	8759.7610698
5	9604.68635615	6003.51688596
5	8544.00374532	5627.88970219
5	10931.6055545	8585.25305393
5	11202.6782512	9848.9427859
5	12298.3738762	10168.323559
5	9192.38815543	8695.18717452
5	9069.17857361	7416.67223221
5	9287.0878105	7097.27961969
5	7516.64818919	5900.47498088
5	10271.3192921	8984.39469302
5	9746.79434481	9142.49473612
5	10839.7416943	8922.32828358
5	8215.83836258	7360.6327853
5	7466.59226153	6219.50038186
5	11302.6545555	8665.78201895
5	8930.28554975	5158.94286652
5	10222.5241501	8357.77984874
5	10087.1205009	8010.96517281
5	6982.12002188	5860.41244282
5	11313.708499	8981.27663531
5	11335.7840488	9961.29519691
5	8470.53717305	6807.28506822
5	11423.6596588	8820.83986931
5	8774.96438739	7413.40609976
5	9949.87437107	8732.9666208
5	10943.0343141	8150.57985667
5	8485.28137424	7641.28150247
5	10136.5674664	7907.32995391
5	12093.3866224	10286.677695
5	11683.3214455	8711.25341154
5	8558.62138431	6419.93621464
5	8573.21409974	6905.5133046
5	9260.12958873	8120.79922175
5	9630.68014213	8766.53477721
5	9069.17857361	6858.16054055
5	9539.39201417	8005.05752634
5	10594.8100502	9875.5869699
5	10712.1426428	8507.35399522
5	8139.41029805	4936.43408748
5	9178.77987534	7301.24181219
5	9565.56323485	8556.65553823
5	9539.39201417	7322.18457839
5	10476.1634199	8526.9714436
5	8291.56197589	7396.71494652
5	9000.0	7690.63729479
5	9513.14879522	6901.45875884
5	8803.40843083	8000.3509923
5	8930.28554975	6827.69463289
5	9055.38513814	8627.57370296
5	10062.3058987	8092.83275498
5	9721.11104761	8131.8587666
5	10380.269746	9142.05294231
5	10954.4511501	9997.16799899
5	12216.7917229	10286.6772089
5	9987.49217772	8345.9270905
5	9354.14346693	6843.09206426
5	8411.30192063	5408.5912676
5	10547.5115549	8193.20950544
5	9810.70843517	9158.54595446
5	7984.35971134	7054.16543611
5	9823.44135219	9282.84062128
5	11146.7484048	9775.58243789
5	10074.7208398	8492.0666507
5	11597.4135047	10286.6661266
5	10943.0343141	9261.35249302
5	10173.4949747	6494.18293552
5	9219.54445729	7462.73408343
5	9810.70843517	6883.14034435
5	9669.53980291	7633.57216511
5	9785.19289539	8592.38209113
5	9578.62203033	8294.17994741
5	10210.2889283	7800.74150322
5	9759.61064797	7165.56264364
5	9069.17857361	5488.41980902
5	10368.2206767	8643.61058817
5	10747.0926301	8703.27145388
5	11412.7122105	8545.82365837
5	10559.356041	8067.10189597
5	11191.5146428	8990.36973656
5	11575.8369028	7364.99246435
5	11672.6175299	8245.08926574
5	9394.14711403	6629.02511686
5	11821.5904175	9933.37203572
5	7745.96669241	7399.40612482
5	10319.8837203	7186.86155425
5	10111.8742081	8088.02516069
5	9110.43357914	7624.1517561
5	11067.9718106	9965.28965961
5	8746.42784227	7647.8766988
5	10688.7791632	9368.80195116
5	10161.2007165	7604.23862066
5	11191.5146428	8436.57963869
5	9899.49493661	8614.6522855
5	12093.3866224	10286.6670987
5	9273.6184955	9397.60086405
5	11368.8170009	9737.01679161
5	10368.2206767	8983.65972196
5	9962.42942259	5899.25978407
5	9669.53980291	8386.50892803
5	9407.44386111	6270.95917703
5	8874.11967465	7755.12262959
5	11022.7038425	8961.19757622
5	9219.54445729	8294.68486442
5	9785.19289539	9005.08300906
5	9473.64766075	7802.68569148
5	8616.84396981	6850.1618959
5	9354.14346693	5997.3986861
5	8366.60026534	5780.00142734
5	11079.2599031	9932.93773261
5	11101.8016556	9495.80096674
5	12010.4121495	10245.5460567
5	10148.8915651	7185.89041108
5	9447.22181385	8906.27913329
5	11124.2977306	9295.91609256
5	10185.7743937	7771.87126759
5	9874.20882907	7321.43599303
5	10037.4299499	8741.39782872
5	10747.0926301	9380.50489046
5	9552.48658727	7060.94285489
5	10862.7804912	8075.0754176
5	8972.17922246	8273.52258715
5	10700.4672795	8221.32477159
5	9669.53980291	7816.02776351
5	10665.3645039	9162.53098221
5	10062.3058987	7830.92370031
5	10793.5165725	9145.80537733
5	8573.21409974	7462.18359463
5	8689.07359849	8456.68989617
5	9772.41014285	8960.80878046
5	10735.4552768	8757.58653968
5	10087.1205009	9103.00906294
5	9055.38513814	7896.14190602
5	11022.7038425	8438.60983812
5	11000.0	9853.62674349
5	10222.5241501	7522.42281449
5	9082.95106229	8336.76076183
5	9848.8578018	8599.99662791
5	10688.7791632	8974.55915352
5	9246.62100445	7258.71627769
5	8916.27725006	7528.16750611
5	10037.4299499	8973.29103507
5	11629.7033496	9652.46942497
5	10368.2206767	8460.11524744
5	8093.20702812	6621.39169661
5	10943.0343141	9382.3559941
5	8573.21409974	6535.6559732
5	10368.2206767	10132.9238623
5	9797.95897113	9515.25102139
5	9151.50260886	7792.17620437
5	9962.42942259	8159.70360981
5	9565.56323485	8309.05319516
5	10747.0926301	10001.3015153
5	10793.5165725	8582.02237238
5	11202.6782512	9606.71941924
