True Length	Predicted Length
10665.3645039	7739.45824977
9233.09265631	7266.17898211
10559.356041	9167.80726237
10665.3645039	8414.09234558
9096.70269933	6979.68580955
10037.4299499	6871.11381073
9987.49217772	8637.78594317
11390.7857499	10286.6272412
10368.2206767	9056.47182958
9460.44396421	8309.83573845
9617.69203084	7657.2015776
10037.4299499	8492.52906972
10074.7208398	8278.26733079
7331.43914931	6410.47642535
10210.2889283	8561.4495268
10024.9688279	8800.99539825
9340.77084613	8078.94071027
6964.19413859	5597.35910944
9643.65076099	7681.24631814
11500.0	8496.03283892
10559.356041	8694.90574992
10511.8980208	10286.5715377
11958.2607431	10170.1109138
10920.1648339	8995.99866607
8888.19441732	7301.14367753
9287.0878105	7741.42034771
10246.950766	9399.96872335
8396.42781187	5682.64348697
8703.44759276	7557.42118715
10074.7208398	7221.05920208
9151.50260886	8150.72082702
9785.19289539	8710.61398525
9013.87818866	6099.72228876
9313.9680051	7314.29265206
11135.5287257	10286.6778894
11135.5287257	9638.32506196
10000.0	8546.84901002
12658.9889012	10286.6778894
10319.8837203	8703.42507292
10488.0884817	8873.10137438
9500.0	6863.33475797
9630.68014213	7733.73894051
10368.2206767	8626.37710745
7648.52927039	4210.70433538
8703.44759276	6399.00031255
10977.2492001	9160.84035447
10920.1648339	8451.89682852
11821.5904175	9571.29009068
9974.96867163	8646.02463563
9260.12958873	6675.25355324
9000.0	7798.86946935
10319.8837203	8852.87139859
9500.0	7394.92332617
10862.7804912	9163.99803579
12419.7423484	10286.6778894
9340.77084613	6926.85195453
10185.7743937	8247.83995965
10851.2672071	10187.7274208
10688.7791632	8908.78689834
9013.87818866	8794.77208346
11302.6545555	9047.82725299
9886.85996664	7291.69095615
9447.22181385	8776.0688238
9937.30345718	7177.50882967
12114.0414396	10286.6744869
10074.7208398	8837.83717886
10908.7121146	10286.6766256
9874.20882907	7906.61216957
10559.356041	6960.60845042
11011.3577728	8706.6238003
10148.8915651	9482.04418889
11842.7192823	8935.63472843
8958.23643358	6601.57178254
9810.70843517	7892.81705096
11401.754251	10284.9541564
9260.12958873	8919.97376678
8930.28554975	7040.21029515
10148.8915651	8160.54753065
9513.14879522	7329.55162339
11379.8066767	8620.5349022
9772.41014285	8030.60352651
11236.1025271	10286.677695
10500.0	7364.76985384
11651.1801977	10282.9076627
11565.0335062	10192.5221609
10511.8980208	9824.65714415
11726.0393996	10286.6778894
11236.1025271	10286.6565997
9874.20882907	9316.37515346
10136.5674664	8442.16168999
8703.44759276	7117.7277273
12389.5116934	10286.677695
10111.8742081	8523.28399151
12103.7184369	8956.19919385
11202.6782512	8107.08986012
9578.62203033	8212.41219131
10074.7208398	7764.56122392
10747.0926301	8759.7610698
9604.68635615	6003.51688596
8544.00374532	5627.88970219
10931.6055545	8585.25305393
11202.6782512	9848.9427859
12298.3738762	10168.323559
9192.38815543	8695.18717452
9069.17857361	7416.67223221
9287.0878105	7097.27961969
7516.64818919	5900.47498088
10271.3192921	8984.39469302
9746.79434481	9142.49473612
10839.7416943	8922.32828358
8215.83836258	7360.6327853
7466.59226153	6219.50038186
11302.6545555	8665.78201895
8930.28554975	5158.94286652
10222.5241501	8357.77984874
10087.1205009	8010.96517281
6982.12002188	5860.41244282
11313.708499	8981.27663531
11335.7840488	9961.29519691
8470.53717305	6807.28506822
11423.6596588	8820.83986931
8774.96438739	7413.40609976
9949.87437107	8732.9666208
10943.0343141	8150.57985667
8485.28137424	7641.28150247
10136.5674664	7907.32995391
12093.3866224	10286.677695
11683.3214455	8711.25341154
8558.62138431	6419.93621464
8573.21409974	6905.5133046
9260.12958873	8120.79922175
9630.68014213	8766.53477721
9069.17857361	6858.16054055
9539.39201417	8005.05752634
10594.8100502	9875.5869699
10712.1426428	8507.35399522
8139.41029805	4936.43408748
9178.77987534	7301.24181219
9565.56323485	8556.65553823
9539.39201417	7322.18457839
10476.1634199	8526.9714436
8291.56197589	7396.71494652
9000.0	7690.63729479
9513.14879522	6901.45875884
8803.40843083	8000.3509923
8930.28554975	6827.69463289
9055.38513814	8627.57370296
10062.3058987	8092.83275498
9721.11104761	8131.8587666
10380.269746	9142.05294231
10954.4511501	9997.16799899
12216.7917229	10286.6772089
9987.49217772	8345.9270905
9354.14346693	6843.09206426
8411.30192063	5408.5912676
10547.5115549	8193.20950544
9810.70843517	9158.54595446
7984.35971134	7054.16543611
9823.44135219	9282.84062128
11146.7484048	9775.58243789
10074.7208398	8492.0666507
11597.4135047	10286.6661266
10943.0343141	9261.35249302
10173.4949747	6494.18293552
9219.54445729	7462.73408343
9810.70843517	6883.14034435
9669.53980291	7633.57216511
9785.19289539	8592.38209113
9578.62203033	8294.17994741
10210.2889283	7800.74150322
9759.61064797	7165.56264364
9069.17857361	5488.41980902
10368.2206767	8643.61058817
10747.0926301	8703.27145388
11412.7122105	8545.82365837
10559.356041	8067.10189597
11191.5146428	8990.36973656
11575.8369028	7364.99246435
11672.6175299	8245.08926574
9394.14711403	6629.02511686
11821.5904175	9933.37203572
7745.96669241	7399.40612482
10319.8837203	7186.86155425
10111.8742081	8088.02516069
9110.43357914	7624.1517561
11067.9718106	9965.28965961
8746.42784227	7647.8766988
10688.7791632	9368.80195116
10161.2007165	7604.23862066
11191.5146428	8436.57963869
9899.49493661	8614.6522855
12093.3866224	10286.6670987
9273.6184955	9397.60086405
11368.8170009	9737.01679161
10368.2206767	8983.65972196
9962.42942259	5899.25978407
9669.53980291	8386.50892803
9407.44386111	6270.95917703
8874.11967465	7755.12262959
11022.7038425	8961.19757622
9219.54445729	8294.68486442
9785.19289539	9005.08300906
9473.64766075	7802.68569148
8616.84396981	6850.1618959
9354.14346693	5997.3986861
8366.60026534	5780.00142734
11079.2599031	9932.93773261
11101.8016556	9495.80096674
12010.4121495	10245.5460567
10148.8915651	7185.89041108
9447.22181385	8906.27913329
11124.2977306	9295.91609256
10185.7743937	7771.87126759
9874.20882907	7321.43599303
10037.4299499	8741.39782872
10747.0926301	9380.50489046
9552.48658727	7060.94285489
10862.7804912	8075.0754176
8972.17922246	8273.52258715
10700.4672795	8221.32477159
9669.53980291	7816.02776351
10665.3645039	9162.53098221
10062.3058987	7830.92370031
10793.5165725	9145.80537733
8573.21409974	7462.18359463
8689.07359849	8456.68989617
9772.41014285	8960.80878046
10735.4552768	8757.58653968
10087.1205009	9103.00906294
9055.38513814	7896.14190602
11022.7038425	8438.60983812
11000.0	9853.62674349
10222.5241501	7522.42281449
9082.95106229	8336.76076183
9848.8578018	8599.99662791
10688.7791632	8974.55915352
9246.62100445	7258.71627769
8916.27725006	7528.16750611
10037.4299499	8973.29103507
11629.7033496	9652.46942497
10368.2206767	8460.11524744
8093.20702812	6621.39169661
10943.0343141	9382.3559941
8573.21409974	6535.6559732
10368.2206767	10132.9238623
9797.95897113	9515.25102139
9151.50260886	7792.17620437
9962.42942259	8159.70360981
9565.56323485	8309.05319516
10747.0926301	10001.3015153
10793.5165725	8582.02237238
11202.6782512	9606.71941924
10839.7416943	8277.54136202
11937.3363863	10286.677695
10735.4552768	10286.6465867
10547.5115549	8602.44232762
9785.19289539	8126.84772836
11747.3401245	8755.50409742
9513.14879522	7061.74801306
10368.2206767	8698.64897556
10688.7791632	8629.04803556
9565.56323485	8123.47161009
10464.2247682	7285.12951155
8972.17922246	6219.37979223
9447.22181385	6655.0471824
8916.27725006	7109.88600471
10523.7825899	8763.42421659
10476.1634199	8559.4319905
9327.37905309	8429.88493397
11202.6782512	8849.51908298
10641.8983269	6984.70586353
8860.02257333	7522.03403342
