True Length	Predicted Length
9974.96867163	9739.26342184
11958.2607431	9739.26342184
13143.4394281	9739.26342184
9407.44386111	9739.26342184
11694.0155635	9739.26342184
12439.8553046	9739.26342184
11554.2200083	9739.26342184
11335.7840488	9739.26342184
11694.0155635	9739.26342184
13228.7565553	9739.26342184
10931.6055545	9739.26342184
11618.9500386	9739.26342184
11554.2200083	9739.26342184
9420.72184071	9739.26342184
11853.2695911	9739.26342184
11521.7186218	9739.26342184
12439.8553046	9739.26342184
10805.0913925	9739.26342184
11169.1539518	9739.26342184
12288.2057274	9739.26342184
12257.6506721	9739.26342184
10839.7416943	9739.26342184
13518.5058346	9739.26342184
11863.8105177	9739.26342184
11224.9721603	9739.26342184
12186.057607	9739.26342184
13114.8770486	9739.26342184
10988.6304879	9739.26342184
12971.1217711	9739.26342184
12509.9960032	9739.26342184
11302.6545555	9739.26342184
11090.5365064	9739.26342184
12874.3931896	9739.26342184
14203.8727113	9739.26342184
12903.4879006	9739.26342184
11640.4467268	9739.26342184
11608.1867662	9739.26342184
12990.3810568	9739.26342184
11379.8066767	9739.26342184
12893.7969582	9739.26342184
10198.0390272	9739.26342184
12175.7956619	9739.26342184
11113.0553854	9739.26342184
13000.0	9739.26342184
12796.4838921	9739.26342184
12961.4813968	9739.26342184
10024.9688279	9739.26342184
11608.1867662	9739.26342184
11500.0	9739.26342184
11067.9718106	9739.26342184
11651.1801977	9739.26342184
14150.9716981	9739.26342184
12688.5775404	9739.26342184
14781.7454991	9739.26342184
11169.1539518	9739.26342184
10897.2473589	9739.26342184
12144.9578015	9739.26342184
10988.6304879	9739.26342184
14168.6273153	9739.26342184
10988.6304879	9739.26342184
13152.946438	9739.26342184
12747.548784	9739.26342184
12649.1106407	9739.26342184
12922.8479833	9739.26342184
12134.6610995	9739.26342184
11853.2695911	9739.26342184
11905.8808998	9739.26342184
13285.3302556	9739.26342184
9486.83298051	9739.26342184
12206.5556157	9739.26342184
12698.4250992	9739.26342184
9578.62203033	9739.26342184
12529.9640861	9739.26342184
10931.6055545	9739.26342184
11821.5904175	9739.26342184
11269.4276696	9739.26342184
10136.5674664	9739.26342184
13028.8142208	9739.26342184
12359.2070943	9739.26342184
11597.4135047	9739.26342184
12796.4838921	9739.26342184
11704.6999107	9739.26342184
11874.342087	9739.26342184
12509.9960032	9739.26342184
10380.269746	9739.26342184
12103.7184369	9739.26342184
13076.6968306	9739.26342184
11510.8644332	9739.26342184
10712.1426428	9739.26342184
11672.6175299	9739.26342184
11401.754251	9739.26342184
11683.3214455	9739.26342184
13388.427839	9739.26342184
14620.1915172	9739.26342184
12206.5556157	9739.26342184
10559.356041	9739.26342184
11821.5904175	9739.26342184
11884.864324	9739.26342184
10392.3048454	9739.26342184
10368.2206767	9739.26342184
12825.7553384	9739.26342184
12318.6849948	9739.26342184
13601.4705087	9739.26342184
9836.15778645	9739.26342184
11597.4135047	9739.26342184
11510.8644332	9739.26342184
11715.3745139	9739.26342184
11895.3772534	9739.26342184
10816.6538264	9739.26342184
14035.6688476	9739.26342184
12227.0192606	9739.26342184
12227.0192606	9739.26342184
11895.3772534	9739.26342184
10547.5115549	9739.26342184
10965.8560997	9739.26342184
12913.1715701	9739.26342184
12196.3109177	9739.26342184
12727.9220614	9739.26342184
11335.7840488	9739.26342184
10511.8980208	9739.26342184
14247.8068488	9739.26342184
12359.2070943	9739.26342184
13009.6118313	9739.26342184
11736.6945943	9739.26342184
10416.333328	9739.26342184
11291.5897906	9739.26342184
10571.1872559	9739.26342184
12389.5116934	9739.26342184
13991.0685796	9739.26342184
11916.3752878	9739.26342184
11811.011811	9739.26342184
10977.2492001	9739.26342184
13991.0685796	9739.26342184
11608.1867662	9739.26342184
12165.5250606	9739.26342184
12559.8566871	9739.26342184
10392.3048454	9739.26342184
12559.8566871	9739.26342184
11726.0393996	9739.26342184
