True Length	Predicted Length
5099.01951359	4523.57148722
5147.81507049	5656.53303712
4272.00187266	4092.46685998
6500.0	5810.62053485
2828.42712475	3125.51803706
7158.91053164	6079.94095366
5700.8771255	6210.49997987
6964.19413859	7392.76010702
3278.71926215	3960.14608316
3354.10196625	3244.75291817
5220.15325446	4718.08965578
7500.0	7219.59015457
4031.12887415	3958.53388264
8062.2577483	8095.37868169
7228.4161474	7518.72795092
7500.0	7041.99687589
6041.5229868	5830.33926972
6103.27780787	6101.82103966
3201.56211872	2933.36035972
2828.42712475	2991.73979484
8200.60973343	7727.72346814
2915.47594742	2581.66283624
8062.2577483	7880.98737469
1802.77563773	2080.06448217
7228.4161474	7042.68684523
6403.12423743	7972.62829938
3774.91721764	3933.81538713
7905.69415042	7600.46788033
5590.16994375	4586.7547351
6324.55532034	5980.7915864
4609.77222865	4081.1695015
7071.06781187	5850.52236984
6519.2024052	6580.66698747
4609.77222865	4698.52530056
5408.3269132	5288.45762014
5894.91306128	6447.43049594
6800.73525437	6244.72353271
4609.77222865	4196.67987819
7017.83442381	7888.08100871
6041.5229868	5819.70806828
7211.10255093	7206.47111976
3605.55127546	3839.55290366
6184.65843843	6659.41634079
4743.41649025	5810.56322571
5454.35605732	6731.48482877
2236.0679775	2317.41466941
6020.7972894	5946.25251734
6500.0	6034.60321811
4609.77222865	4069.45070003
6264.98204307	5532.0908344
4472.135955	4755.90086104
8154.75321515	8826.92993062
6964.19413859	6730.51053041
5894.91306128	5962.1311626
5099.01951359	4359.33515573
6670.83203206	5902.79137358
3640.05494464	3207.44165964
5220.15325446	4658.25589679
5408.3269132	5029.64084205
4272.00187266	3887.87486939
2692.58240357	2330.07955873
7106.33520178	7251.19217784
4242.64068712	4250.06505833
3201.56211872	3208.52388179
4272.00187266	3659.61275274
7500.0	7173.00954969
5477.22557505	6030.63462664
6782.32998313	7473.22072469
7382.41153012	7022.71087259
4272.00187266	4375.07257083
7071.06781187	7360.68230533
6324.55532034	6016.58000861
6103.27780787	5919.55462852
6422.61628933	8037.67777408
5830.95189485	5803.5854435
4031.12887415	3511.99523063
3674.23461417	4962.10842284
5315.07290637	5123.05699754
5590.16994375	4867.1980646
3774.91721764	3747.00353616
3162.27766017	2838.5738937
7035.62363974	6902.35293215
5315.07290637	4879.37352536
2236.0679775	2425.07056598
5147.81507049	5291.50470093
6946.22199472	8758.60285662
2500.0	2168.14603982
5000.0	5098.93126057
6403.12423743	6789.41131469
6224.94979899	6926.32918652
6800.73525437	6691.87611959
6422.61628933	7107.42935245
5454.35605732	6853.93157246
4949.74746831	5948.41314974
5852.34995536	5651.9655873
7158.91053164	6616.91876934
7297.25975966	8826.61384677
3605.55127546	5441.50833869
6800.73525437	5910.48297519
5147.81507049	6026.18876239
5590.16994375	4669.08866911
6184.65843843	5534.72682253
3354.10196625	3079.23829867
3905.12483795	3624.28641252
7778.17459305	8827.19751677
5500.0	6619.04766564
3807.88655293	3567.50711282
4500.0	5230.63839316
5500.0	5930.53656932
2692.58240357	2956.33751456
3640.05494464	3005.38408527
6800.73525437	5803.10175682
7158.91053164	5689.68865581
2915.47594742	3025.71487421
3000.0	3676.20068821
5590.16994375	5221.69072236
6595.45297914	7190.03324054
7158.91053164	5955.68971657
5656.85424949	5727.97974857
7211.10255093	7132.4021199
5590.16994375	4566.85340251
6184.65843843	5465.72373982
5590.16994375	4807.42051416
7500.0	7138.52309655
6264.98204307	6008.21795543
7280.10988928	6531.86252152
4636.80924775	6029.73075684
8602.32526704	8518.59612847
5500.0	5987.33246112
8845.90300648	8813.48671072
8015.60977094	8827.34569392
6689.54408013	7332.28750118
9552.48658727	8827.4578447
6946.22199472	6650.1669152
4690.41575982	5876.66444507
5787.9184514	6793.76243329
3774.91721764	4548.42335321
6800.73525437	6166.5985762
2500.0	2324.08498123
7632.16876124	7232.55086398
7433.03437366	6256.74835677
2236.0679775	2830.99704168
6184.65843843	4618.5359152
5744.56264654	7067.78819717
4609.77222865	3977.49626021
7106.33520178	7211.95798657
4031.12887415	3816.08975261
4743.41649025	4908.51606904
5590.16994375	4588.16684527
3162.27766017	2988.34402303
4743.41649025	4498.87741553
7697.40215917	7767.10010235
4609.77222865	4016.60945326
4609.77222865	4611.60948043
4472.135955	4425.73620994
4123.10562562	4109.35803989
2500.0	1839.08051074
6363.96103068	8097.22606823
4031.12887415	4617.22925573
7211.10255093	7309.3463456
5454.35605732	7108.98079896
6819.09084849	8068.64573519
4272.00187266	4297.15882881
5787.9184514	7223.99390919
3316.62479036	3907.53643617
5220.15325446	4365.04627696
4031.12887415	3790.31707117
6726.81202354	6699.02530224
4301.16263352	4478.24016774
5408.3269132	5186.02873112
7106.33520178	7324.46202803
3605.55127546	3581.73002891
5700.8771255	5132.26821201
6670.83203206	8659.6861375
5147.81507049	5161.03022661
3082.20700148	4230.88489562
4242.64068712	4682.4113446
4609.77222865	4048.0288413
4609.77222865	4107.4073331
4974.93718553	6183.95358974
5873.67006224	7542.13921908
6708.2039325	6654.72974658
6892.02437605	8827.42046127
3640.05494464	3031.04800358
5590.16994375	4032.05326106
2500.0	2212.1416659
5099.01951359	4603.15533086
5852.34995536	6200.1719331
7905.69415042	8025.6429026
3500.0	4113.52476594
3201.56211872	2828.42853896
3674.23461417	4327.82358698
5220.15325446	4942.34387715
6964.19413859	6572.14881146
6103.27780787	6037.82195829
7810.24967591	7884.18670504
5678.9083458	5787.68511583
6726.81202354	6712.99262624
3000.0	3782.13200457
2500.0	2363.03353764
4242.64068712	4558.4763902
4415.88043316	5187.88935888
4472.135955	4619.1061906
3640.05494464	3045.25622896
6946.22199472	6631.27619693
6184.65843843	6939.2916065
4272.00187266	3941.05512522
6041.5229868	7901.58452464
5830.95189485	5995.71096702
5220.15325446	4482.79533327
4609.77222865	3527.46041792
2500.0	2509.45053747
6500.0	5854.15749703
3905.12483795	3674.76910839
5787.9184514	7075.21194029
7017.83442381	7230.23443603
4031.12887415	5329.96491546
3937.00393701	4564.57456944
7106.33520178	7128.46491189
6910.13748054	7332.39960722
5916.0797831	6189.12287808
6123.72435696	6745.70915471
5385.16480713	5210.00854126
5408.3269132	6426.01260503
6264.98204307	5799.80913479
6576.47321898	7306.63958328
6020.7972894	5873.42106442
1802.77563773	1811.19339111
4821.8253805	6412.6841494
7071.06781187	7065.02314221
3354.10196625	2806.96076745
6344.28877022	6651.00338295
6800.73525437	7254.13826722
5894.91306128	6779.46428562
6103.27780787	5989.61651527
8485.28137424	8658.37259536
6103.27780787	5731.44789735
6800.73525437	6162.87059738
4472.135955	4117.32643836
5873.67006224	7414.70943463
3807.88655293	3393.6078147
5830.95189485	6101.00926077
6670.83203206	5961.67073898
4301.16263352	5244.65337272
6800.73525437	6921.55358283
4716.99056603	4593.64974721
6324.55532034	5847.99555403
5099.01951359	4217.07031006
2915.47594742	3092.69979144
5522.68050859	6721.10050513
7382.41153012	8538.86948021
7778.17459305	7879.99720812
7106.33520178	7027.85657224
4123.10562562	3816.54529647
7211.10255093	7301.68884574
