True Length	Predicted Length
8732.12459829	8151.81580999
9473.64766075	9205.18375699
8674.67578645	7538.62759393
9394.14711403	8369.62561887
8351.64654425	8494.58751206
10136.5674664	8976.58331438
9874.20882907	7628.84650521
10259.1422643	8865.3986938
7599.34207679	6950.55307152
8631.33825082	8502.92249759
8470.53717305	8689.48657862
7176.3500472	8040.37045166
8276.47267862	7168.6295064
6383.5726674	6269.66043738
8874.11967465	9509.44930056
8077.7472107	7892.37087319
9367.4969976	8620.2644971
7599.34207679	8751.94481244
6461.42399166	7235.58878047
9552.48658727	8293.31483787
8276.47267862	7623.0838904
7984.35971134	7266.76551156
8062.2577483	7663.46710047
11022.7038425	9480.85618497
8154.75321515	8296.49570602
6873.86354243	6786.22737609
7228.4161474	6901.86228492
9924.71662064	8888.18496657
7449.83221288	7624.58359519
9759.61064797	9713.03711514
9810.70843517	8811.79748973
9874.20882907	8357.99264178
4472.135955	5438.36795372
9500.0	9012.69870793
9287.0878105	7619.51015486
6964.19413859	7161.02723078
8124.03840464	7144.68109855
7466.59226153	7989.83379051
8366.60026534	7023.61801353
7968.68872525	7722.37974979
9340.77084613	8429.01524497
7810.24967591	7764.930972
9578.62203033	8296.68970132
7713.62431027	7351.30539428
7176.3500472	5811.24418692
6946.22199472	6946.80120631
9420.72184071	8456.30995175
9300.53761887	7894.76269434
9394.14711403	7930.53308423
11842.7192823	10451.947474
10283.4819006	9793.64467397
9313.9680051	8377.52612649
9192.38815543	8633.54093058
8703.44759276	6855.78398143
6819.09084849	6564.77269218
10210.2889283	8624.46694005
7648.52927039	8103.48721231
10319.8837203	9082.61162882
9552.48658727	8120.42394214
10428.3268073	10097.3507417
8077.7472107	6162.53507089
9394.14711403	7321.47225632
9394.14711403	7390.04404588
8366.60026534	7044.06324503
7483.31477355	7681.36595925
7483.31477355	8792.50021325
8789.19791562	7335.42023336
8077.7472107	8394.74835835
9340.77084613	7941.72846426
8645.8082329	8343.71577896
6708.2039325	8100.25623052
7794.22863406	6951.08905136
7449.83221288	7713.19479853
10368.2206767	10328.3895163
7176.3500472	7240.99323298
9695.35971483	8151.27315209
9886.85996664	8778.29015242
10295.630141	9475.66156002
8789.19791562	8014.39823068
10111.8742081	9072.26322369
8631.33825082	8607.31404098
9137.83344125	8529.45766154
9041.57066001	8726.55470389
9407.44386111	10611.5812205
8789.19791562	8087.05700487
9178.77987534	7911.97453231
9407.44386111	9315.34969821
10488.0884817	8881.60120699
10210.2889283	8369.81433486
9027.73504263	8128.8397081
10024.9688279	10360.8222647
7158.91053164	7185.27988321
9340.77084613	6949.77251426
9192.38815543	8643.73079174
8717.79788708	8701.39253223
10559.356041	9011.50431393
9273.6184955	9497.7273071
7566.37297521	7753.12878779
10368.2206767	8981.47710569
9874.20882907	9642.40156807
7729.81241687	6543.48271183
9924.71662064	8588.2990749
7968.68872525	6965.27479716
6595.45297914	6805.85688947
7697.40215917	6733.6076883
9669.53980291	8204.67884807
10049.8756211	8817.1917298
9273.6184955	8780.46433852
7729.81241687	8882.85899922
8717.79788708	7633.18256037
7566.37297521	7722.47648103
8336.66600027	7966.45680337
9848.8578018	9260.84736944
7000.0	6644.7751655
8616.84396981	7452.32916611
9447.22181385	8696.91658003
9630.68014213	9444.1702653
10074.7208398	10377.3676816
9233.09265631	8877.13681318
8031.1892021	6133.36893559
9552.48658727	9408.55801917
8351.64654425	7151.20283589
9460.44396421	10182.8457712
9219.54445729	7319.8457634
9460.44396421	7834.12477562
7262.91952317	6780.31407827
8093.20702812	8253.58031402
6892.02437605	8647.18786658
10464.2247682	8960.23961733
11045.3610172	10171.6278933
8860.02257333	8108.35340868
8558.62138431	8563.94044818
8031.1892021	8710.18518747
7778.17459305	7830.95741273
8093.20702812	7184.76909859
9354.14346693	8494.46449166
10024.9688279	9686.98632187
10111.8742081	9616.17605912
10781.9293264	9453.80166917
7211.10255093	8379.82607218
7035.62363974	7074.4225206
8440.97150807	8191.86382943
7697.40215917	6981.04068173
8291.56197589	6532.52386142
7968.68872525	6415.19399551
9027.73504263	7972.21205187
8200.60973343	7858.78400263
8986.10037781	9172.24356415
9460.44396421	9051.22378466
9987.49217772	9852.21974988
9874.20882907	8086.51939959
9192.38815543	9312.83576576
6910.13748054	7305.09240188
