	1 layers,  20 nodes/layer	1 layers,  60 nodes/layer	1 layers,  100 nodes/layer	1 layers,  140 nodes/layer	1 layers,  180 nodes/layer	2 layers,  20 nodes/layer	2 layers,  60 nodes/layer	2 layers,  100 nodes/layer	2 layers,  140 nodes/layer	2 layers,  180 nodes/layer	3 layers,  20 nodes/layer	3 layers,  60 nodes/layer	3 layers,  140 nodes/layer	3 layers,  180 nodes/layer
34.0	595561859.656	477055195.258	443130024.91	424561657.395	414114826.469	526615411.117	406962483.125	445261018.674	391269604.766	471099294.113	480054898.293	418635325.73
35.0	591187670.625	475038512.602	441346050.016	423182208.68	413299210.152	524895769.242	405524959.078	444422977.902	390599683.293	471821737.445	476049169.379	417520733.03
36.0	587317608.711	473593008.391	439847608.07	421928476.18	412349913.727	523841031.242	404584226.607	444366934.463	389255603.831	474007392.478	472420053.926	416540495.938
37.0	583132085.078	472070129.109	438537147.0	420901449.775	411763843.98	522405570.609	404333012.873	444836318.583	389405845.583	470045121.514	468775296.879	415535414.253
38.0	578969116.688	470180475.188	436608413.25	419651779.678	411088111.393	520974527.914	403247026.212	444685258.646	388683518.918	448549590.086	465763612.176	416986859.566
39.0	575766888.883	468510944.047	435294812.02	418477628.344	410224069.18	519891999.156	403283698.58	444032414.505	389443297.708	426752529.667	462662774.703	415719129.2
40.0	571751326.0	466485405.555	434168028.391	417871028.266	409600410.686	518596964.234	402064537.725	444590646.936	390097396.328	414182720.219	459988686.961	417138744.607
41.0	568023012.453	465027182.727	432623176.621	416580619.975	409291993.977	517705926.051	401212085.672	444058901.246	387480737.438	406304977.344	457205125.832	413651993.951
42.0	564036047.516	463841783.031	431245314.441	415732389.277	408444328.83	517102829.188	400054131.488	443988394.938	388857589.787	399922379.649	454789929.672	414747709.982
43.0	561021604.438	462415296.289	430502884.91	415255511.389	407732700.152	516249821.539	400099766.232	443713577.551	388018916.879	396822825.922	452563819.551	412710104.944
44.0	557268648.922	460877032.297	429303340.336	414529166.943	407202377.795	514860270.598	399537014.418	443231791.815	387825267.625	393696619.354	450378354.355	412210057.746
45.0	554534838.984	459265666.57	427853965.145	413279080.018	407072035.881	514113780.621	399361696.012	443666314.73	387110843.66	391382996.732	448406812.562	412076016.066
46.0	551572232.805	458128943.148	426727406.918	412755177.531	406423907.922	513214148.902	398890236.205	443093084.311	387712748.805	391290569.473	446359198.461	412992951.904
47.0	548417253.305	456793387.57	425957258.164	412259808.889	405672487.939	512204796.844	400255067.448	443408397.01	386855500.543	388373271.348	444643355.051	411429065.639
48.0	545917053.914	455752495.383	425016101.441	411893146.586	405358727.66	511183807.48	399386093.359	444086908.008	386753316.456	387273053.721	442991166.586	411493886.262
49.0	542882222.859	454106971.344	424363782.766	411030067.889	405059159.891	510453434.494	398041708.701	443979288.738	385611498.643	389367633.81	441207278.688	411817244.692
