Epoch	Epoch Train cost	Epoch Test cost	1/Epoch Test cost
0	1932133.69	2202212.3125	4.54088824372e-07
1	1913034.34	2197383.625	4.55086671541e-07
2	1910285.17	2195605.6875	4.55455187465e-07
