epoch, total loss
1,173153902.906
2,166739637.25
3,160612521.656
4,154822946.562
5,149357379.469
6,144230552.219
7,139524700.344
8,135247099.797
9,131426755.828
10,128043967.688
11,125099292.5
12,122529492.297
13,120365576.188
14,118577250.094
15,117103826.031
16,115910102.836
17,114946534.281
18,114173484.516
19,113566631.875
20,113087335.523
21,112711237.0
22,112416108.922
23,107884602.648
24,103494813.484
25,99783825.0625
26,96290669.0781
27,93046991.9062
28,90105594.0625
29,87488219.1953
30,84967256.5703
31,82803740.9297
32,80764319.0547
33,79120231.4219
34,77604222.5312
35,76205403.5469
36,75376102.8359
37,74024620.7344
38,73075987.5469
39,72312502.625
40,71696995.1094
41,71219911.9141
42,70636644.1641
43,70578154.9688
44,69968694.8594
45,69497252.4414
46,69279282.5312
47,69104139.7578
48,68795100.082
49,68626779.0898
50,68435025.4688
51,68265797.7305
52,68261953.75
53,68012457.9922
54,67892689.8594
55,67817558.4297
56,67615182.4766
57,67485129.1406
58,67320826.5469
59,67367547.7031
60,67254232.7188
61,67191242.0234
62,67072516.1875
63,66922979.082
64,66905287.5469
65,66749499.6172
66,66694548.1328
67,66683213.8984
68,66541854.5312
69,66409076.5273
70,66400801.6289
71,66207591.7891
72,66226488.5938
73,66230603.6484
74,66000017.1562
75,65746439.2422
76,65813009.7695
77,65842865.1133
78,65723407.1758
79,65579823.5039
80,65575257.6094
81,65558411.4609
82,65632042.7422
83,65348495.3594
84,65410382.2812
85,65338557.8008
86,65036658.8516
87,65447446.6875
88,64754034.3438
89,65135543.5391
90,64582506.1367
91,64702267.1172
92,64572934.4453
93,64579542.1406
94,64575442.6172
95,64518818.0234
96,64745701.0078
97,64752780.2344
98,64654967.9688
99,64552570.7109
100,64643798.4766
