epoch, total loss
1,202791680.688
2,192931337.312
3,183338865.781
4,174079621.188
5,164983443.281
6,156266826.875
7,148070323.625
8,140412743.188
9,133347057.484
10,126918061.766
11,121159729.0
12,116075201.875
13,111656847.453
14,107875174.25
15,104682123.594
16,102012666.516
17,99812023.8281
18,98014061.7031
19,96553838.2344
20,95380841.0
21,94439432.5156
22,93684215.3125
23,92085316.9531
24,91108487.0156
25,90362121.5469
26,89696032.25
27,89200978.0312
28,88654049.6719
29,88246164.1562
30,87819590.25
31,87549890.9688
32,87224677.7656
33,87007287.0312
34,86750208.7031
35,86586459.4688
36,86558117.4219
37,86314853.9688
38,86162812.0
39,86012856.625
40,85908922.5469
41,85834634.1562
42,85705008.0938
43,85644395.2969
44,85595976.5
45,85528782.6875
46,85457538.8438
47,85400064.2031
48,85304387.2812
49,85246770.1875
50,85210077.875
51,85161453.2812
52,85210702.2969
53,85102961.1094
54,85144216.0938
55,85026481.2031
56,85022026.0156
57,84955270.1406
58,84932380.4062
59,84929725.5469
60,84931761.4531
61,84885390.2812
62,84931844.2969
63,84863320.3281
64,84809071.25
65,84796832.4688
66,84769772.125
67,84807409.7812
68,84745374.3906
69,84817605.0312
70,84774249.2656
71,84801989.2656
72,84727129.4062
73,84682081.5312
74,84694036.2188
75,84715878.2969
76,84608501.75
77,84648775.125
78,84647192.4531
79,84681685.6719
80,84616772.5781
81,84626693.375
82,84652652.5156
83,84612719.2969
84,84656494.2969
85,84600599.0781
86,84589473.2188
87,84598736.4375
88,84603511.875
89,84601947.3438
90,84573594.6562
91,84557997.5469
92,84531554.1406
93,84596009.5938
94,84568495.625
95,84551710.3438
96,84575025.7969
97,84553654.7031
98,84510123.8906
99,84526318.75
100,84501108.7188
