instance,epoch,link0,link1,link2,link3,link4,link5
arm_102,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_103,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_104,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_105,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_106,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_107,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_108,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_109,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_110,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_111,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_112,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_113,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_114,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_115,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_116,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_117,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_118,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_119,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_120,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_121,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_122,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_123,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_124,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_125,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_126,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_127,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_128,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_129,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_130,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_131,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_132,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_133,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_134,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_135,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_136,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_137,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_138,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_139,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_140,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_141,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_142,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_143,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_144,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_145,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_146,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_147,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_148,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_149,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_150,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_151,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_152,1,272.334,276.333,254.812,278.858,268.18,266.507
