epoch, total loss
1,161754184.281
2,153463379.531
3,145426977.188
4,137615344.312
5,130055907.984
6,122857300.453
7,116104711.625
8,109846625.297
9,104150625.211
10,99069261.0625
11,94613949.8828
12,90774670.3984
13,87514754.7422
14,84781100.8984
15,82511556.1562
16,80644662.4062
17,79129292.5469
18,77906098.25
19,76935241.3438
20,76162990.8594
21,75554330.0547
22,75079801.8281
23,74711283.9922
24,73959285.5078
25,70448038.3047
26,69579303.8906
27,68816186.4297
28,68237659.4141
29,67720976.8125
30,67380902.0938
31,66937381.2109
32,66643342.4688
33,66225412.4219
34,65971849.9922
35,65718398.9844
36,65462788.8828
37,65298543.7188
38,65073807.0156
39,65009619.6406
40,64789971.2734
41,64702396.3281
42,64548014.7344
43,64489310.2734
44,64367754.5312
45,64331102.4766
46,64184671.1172
47,64148770.75
48,64120385.9141
49,63994890.4219
50,63936090.1719
51,63825360.8281
52,63799065.7656
53,63709773.7109
54,63719187.4219
55,63692581.9062
56,63618930.6641
57,63549348.1719
58,63560899.7109
59,63529379.4844
60,63488963.1328
61,63560030.4297
62,63340594.8828
63,63370759.7734
64,63351076.5938
65,63282083.6641
66,63311822.4609
67,63370265.8516
68,63233420.9844
69,63240849.9609
70,63240032.1484
71,63214580.8906
72,63151638.6328
73,63140691.3516
74,63166404.1875
75,63071386.25
76,63194211.4922
77,63103150.3984
78,63132151.5859
79,63116262.9844
80,63132553.4844
81,63174060.7969
82,63119461.375
83,63096320.1797
84,63136282.1328
85,63111798.6094
86,63055704.4922
87,63058454.2266
88,62998764.75
89,63063070.4766
90,63036953.9922
91,63017913.7578
92,63010734.7031
93,62949410.6875
94,62946450.5078
95,62958078.8906
96,62964170.8672
97,62921922.2266
98,62994132.3125
99,62945187.9844
100,62895761.9297
